Layer,Label,Objects,Edges,Lines,Arcs,Circles,Length_mm,Length_ft,Width_mm,Height_mm
Layer,structures,84,84,84,0,0,9247.1,30.3,6047.0,2990.5
Layer001,staging_clearance_points,14,14,14,0,0,630.5,2.1,1555.6,1544.9
Layer002,version__,0,0,0,0,0,0.0,0.0,0.0,0.0
Layer003,room,78,78,70,8,0,131017.8,429.8,13644.2,12674.6
Layer004,VAL,13,13,8,5,0,2108.6,6.9,1033.3,336.4
Layer005,Helix,4,633,632,1,0,10030.6,32.9,1651.0,1651.0
Layer006,streets,0,0,0,0,0,0.0,0.0,0.0,0.0
Layer007,landscape_lower,0,0,0,0,0,0.0,0.0,0.0,0.0
Layer008,rh,22,22,15,7,0,3897.0,12.8,533.2,763.1
Layer009,tt,2,1,0,0,1,1506.2,4.9,479.3,479.4
Layer010,Interchange,7,7,3,4,0,3754.1,12.3,1906.9,2383.8
Layer011,hidden,16,28,21,7,0,12576.1,41.3,1523.8,5287.1
Layer012,C_O,355,637,534,103,0,109211.0,358.3,8307.9,5481.8
Layer013,Lower_Bench_Outline,1,280,280,0,0,79853.1,262.0,8501.7,5720.5
Layer014,studwall,13,13,8,5,0,16206.4,53.2,5379.8,5009.4
Layer015,streets_overhead,0,0,0,0,0,0.0,0.0,0.0,0.0
Layer016,SOU,4,4,2,2,0,3548.3,11.6,1522.5,1109.1
Layer017,Bench,18,18,18,0,0,4470.4,14.7,5050.8,3928.1
Layer018,Cars,0,0,0,0,0,0.0,0.0,0.0,0.0
Layer019,ramps_to_staging,12,82,78,4,0,4344.7,14.3,3278.3,1070.3
Layer020,staging,182,182,104,78,0,91159.2,299.1,3323.0,5590.0
Layer021,a_frame,9,9,9,0,0,11077.8,36.3,1482.7,4848.4
Layer022,a_temp1,280,280,280,0,0,79853.1,262.0,8501.7,5720.5
Layer023,Backdrops,58,62,33,29,0,48006.4,157.5,7979.8,5340.8
Layer024,structures_overhead,0,0,0,0,0,0.0,0.0,0.0,0.0
Layer025,VAL_ramps_to_staging,22,908,908,0,0,21187.2,69.5,6708.1,2909.9
Layer026,0,0,0,0,0,0,0.0,0.0,0.0,0.0
